Product_ID,Title,Link,Category,Label_Trend,Label_Marketing,Rating,Sold,Original_Price,Current_Price,Discount_Percent
1730671717682481372,LAMDIENSTORE - Quần Ống Rộng Nữ LQ019 Chất Liệu Gió Lụa Phong Cách Trẻ Trung Năng Động Có Túi Quần Nhiều Màu Nhiều Size Cho Chọn,https://www.tiktok.com/shop/vn/pdp/1730671717682481372,Womenswear & Underwear,Xu hướng,Deal,4.8,59.6K,188.000₫,138.000,-27%
1732218939498792767,(DƯỚI 54KG) ÁO KIỂU NỮ CỔ YẾM VOAN TẦNG CỘT DÂY LƯNG + CÓ MÚT,https://www.tiktok.com/shop/vn/pdp/ao-kieu-nu-co-yem-voan-tang-cot-day-lung-co-mut-size-freesize/1732218939498792767,Womenswear & Underwear,Xu hướng,Deal,4.9,5.7K,141.000₫,79.000,-44%
1732006178322679591,"Áo Thun Boxy AIMÉ Cotton 250gsm Cổ Tròn Nam Nữ "" PHỐI MÀU CARTOON "" Áo Phông Nữ Form Rộng Nữ Mùa Hè Kiểu Đẹp Nam Nữ HA.BO STORE18",https://www.tiktok.com/shop/vn/pdp/ao-thun-boxy-cotton-250gsm-co-tron-phong-cach-cartoon-unisex/1732006178322679591,Womenswear & Underwear,Xu hướng,Deal,4.6,8.2K,199.000₫,99.000,-50%
1729694175870618371,"Bộ Đồ Ngủ JUSOKA Pijama Cộc Đùi Lụa Ngủ Gấm Xước Ánh Kim Mặc Nhà Có viền Basic Cao Cấp CC126 - Thoải Mái, Sang Trọng",https://www.tiktok.com/shop/vn/pdp/bo-%C4%91o-ngu-jusoka-pijama-coc-%C4%91ui-lua-gam-xuoc-anh-kim-thoai-mai-sang-trong-de-dang-phoi-%C4/1729694175870618371,Womenswear & Underwear,Không,Deal,4.6,29.0K,198.000₫,119.000,-40%
1731817216337086027,"Áo Khoác Nỉ - Áo Khoác Form Rộng Nam Nữ Khoá Kéo, Nón To Unisex TAHO Basic Hot Trend Women Top Hoodie",https://www.tiktok.com/shop/vn/pdp/ao-khoac-ni-nam-nu-form-rong-khoa-keo-unisex-thoi-trang/1731817216337086027,Womenswear & Underwear,Xu hướng,Deal,4.5,22.8K,299.000₫,157.409,-47%
1731529351959644487,Áo Lót Áo Bra Nữ Bigsize Không Gọng Mút Mỏng Gom Quả Chống Chảy Xệ Thoải Mái -- BW241128 Nữ Bra Women Nhung,https://www.tiktok.com/shop/vn/pdp/ao-lot-nu-big-size-khong-gong-mut-mong-chong-chay-xe/1731529351959644487,Womenswear & Underwear,Xu hướng,Deal,4.7,8.6K,50.000₫,8.900,-82%
1731940422029380249,[Đ.14-T](Hở Lưng) Đầm Dáng Trơn Không Tay Hở Lưng Dáng Dài (Có Mút Ngực - Có Túi) Women Top Dress | Tũm Clothing,https://www.tiktok.com/shop/vn/pdp/%C4%91am-dang-tron-khong-tay-ho-lung-dang-dai-chat-lieu-cotton/1731940422029380249,Womenswear & Underwear,Không,Deal,4.8,15.2K,299.000₫,210.000,-30%
1731663752025114680,QUẦN ĐỘN HÔNG MÚT LIỀN CHẤT SU KHÔNG VIỀN 6660 [Meow Corset],https://www.tiktok.com/shop/vn/pdp/quan-%C4%91on-hong-mut-lien-chat-su-khong-vien-6660-meow-corset/1731663752025114680,Womenswear & Underwear,Không,Deal,4.6,1.8K,149.000₫,98.010,-34%
1733135176439465825,YN016 Đồ Bộ Tole Lanh Nữ L1 (40-85kg) Áo Viền Ren NÚT Cổ Tròn Tay Dài Quần Dài Bộ Mặc Nhà Xinh,https://www.tiktok.com/shop/vn/pdp/bo-%C4%91o-bo-nu-yn016-ao-vien-ren-nut-co-tron-quan-dai-40-85kg/1733135176439465825,Womenswear & Underwear,Không,Không,4.7,4.9K,245.000₫,169.000,-31%
1733367256288757489,Linh Đan8 [ NEW ]- Bộ đồ làm đi chùa nữ thiết kế sang trọng chất liệu lụa tằm cao cấp nhiều màu sắc thời trang size S M L XL,https://www.tiktok.com/shop/vn/pdp/linh-%C4%91an-bo-%C4%91o-lam-%C4%91i-chua-nu-chat-lieu-lua-tam-cao-cap-nhieu-mau-sac/1733367256288757489,Womenswear & Underwear,Không,Không,4.7,1.6K,N/A,380.000,0%
